205,715,475
48,311,7
549,232,941
875,505,531
789,947,492
178,479,673
808,949,77
519,408,601
96,680,74
608,631,234
684,977,773
573,3,279
568,114,861
793,642,33
755,368,60
585,291,79
853,785,736
82,457,233
641,12,204
472,55,833
768,56,991
581,486,422
501,167,353
57,812,691
210,920,125
952,323,349
938,413,752
566,496,371
40,748,637
127,269,406
960,649,720
369,412,227
931,597,96
342,952,481
847,754,297
383,203,772
115,626,240
592,806,164
822,423,125
554,194,888
340,605,92
390,998,754
520,743,899
535,748,554
875,294,544
553,333,415
390,58,707
486,171,61
211,427,402
657,556,833
927,115,402
726,455,66
351,929,575
866,49,228
441,816,72
864,945,936
867,686,603
598,815,502
16,821,338
445,808,967
203,559,878
306,820,990
900,672,131
1,400,305
371,313,780
56,798,624
199,168,385
376,974,206
121,565,313
237,471,254
107,409,263
937,227,172
644,472,888
323,264,703
569,688,533
609,252,456
915,605,108
525,580,83
175,866,653
351,580,754
324,636,502
935,683,974
232,888,999
302,244,807
942,342,754
712,765,274
930,488,148
880,998,150
140,832,227
848,540,575
419,929,615
875,754,912
254,525,439
91,504,266
310,583,932
426,108,750
864,873,625
375,197,388
994,129,183
691,569,852
909,267,3
350,298,709
690,129,236
310,735,889
141,376,751
593,394,522
635,63,675
314,333,687
869,153,537
317,197,941
401,264,467
404,305,721
936,444,601
247,349,462
553,865,689
861,932,111
644,156,478
430,917,797
52,328,920
768,95,794
734,35,895
110,235,458
441,210,534
904,756,222
287,660,627
720,455,434
114,948,671
932,856,396
603,519,364
872,914,419
194,405,47
770,507,455
221,218,947
832,597,69
477,796,172
875,805,255
757,452,83
519,876,449
537,630,799
287,512,503
289,988,811
610,957,384
657,464,191
949,453,154
693,401,643
550,904,472
514,784,23
754,741,337
1000,467,247
345,970,407
213,457,73
845,570,71
42,942,195
509,885,225
85,406,177
297,633,986
786,182,382
173,206,197
883,424,80
45,338,216
509,361,529
197,307,602
814,935,482
333,567,868
507,973,15
843,883,388
298,375,249
637,811,190
45,932,481
692,558,380
800,779,863
688,978,204
290,777,129
71,663,205
823,589,858
141,502,649
45,347,144
974,255,880
226,103,621
542,504,837
891,911,667
491,474,410
332,102,560
150,805,159
926,460,139
765,787,437
953,666,399
879,485,395
833,989,37
683,185,172
18,815,387
784,233,889
391,992,346
596,260,990
592,839,823
513,828,513
808,947,467
226,823,731
518,348,315
811,112,785
80,984,716
157,124,81
37,42,881
388,105,861
544,853,405
206,987,843
963,848,680
473,833,876
199,831,928
381,347,268
227,951,118
554,485,397
626,958,797
962,511,714
673,715,47
684,101,534
543,206,806
387,567,561
185,129,296
145,448,340
981,201,24
363,112,766
482,632,99
564,732,373
11,783,584
208,336,106
344,433,812
726,165,387
825,794,183
122,114,447
392,400,269
169,708,659
610,199,688
21,44,126
560,495,657
430,565,162
778,995,904
